name,link,year_of_birth,year_of_death,date_of_death,description
Leslie Grantham,/wiki/Leslie_Grantham,1947,2015,June 15,British actor
Gennady Rozhdestvensky,/wiki/Gennady_Rozhdestvensky,1931,2015,June 16,Russian conductor
Troy Hurtubise,/wiki/Troy_Hurtubise,1963,2015,June 17,Canadian inventor and conservationist
Walter Bahr,/wiki/Walter_Bahr,1927,2015,June 18,American soccer player
Big Van Vader,/wiki/Big_Van_Vader,1955,2015,June 18,American professional wrestler and football player
XXXTentacion,/wiki/XXXTentacion,1998,2015,June 18,American singer and rapper
Hubert Green,/wiki/Hubert_Green,1946,2015,June 19,American golfer
Stanley Cavell,/wiki/Stanley_Cavell,1926,2015,June 19,American philosopher
Ivan Drach,/wiki/Ivan_Drach,1936,2015,June 19,Ukrainian poet and political activist
Margarethe II of Denmark,/wiki/Margarethe_II_of_Denmark,1935,2015,Princess Elisabeth of Denmark,Danish diplomat and cousin of Margarethe II of Denmark
Sergio Gonella,/wiki/Sergio_Gonella,1933,2015,June 19,Italian businessman and football referee
Koko,/wiki/Koko_(gorilla),1971,2015,June 19,American-bred Western lowland gorilla
Dante Caputo,/wiki/Dante_Caputo,1943,2015,June 20,Argentine diplomat
Peter Thomson,/wiki/Peter_Thomson_(golfer),1929,2015,June 20,Australian golfer
Charles Krauthammer,/wiki/Charles_Krauthammer,1950,2015,June 21,American political commentator
Deanna Lund,/wiki/Deanna_Lund,1937,2015,June 22,American actress
Geoffrey Oryema,/wiki/Geoffrey_Oryema,1953,2015,June 22,Ugandan musician
Vinnie Paul,/wiki/Vinnie_Paul,1964,2015,June 22,American drummer
Alberto Fouilloux,/wiki/Alberto_Fouilloux,1940,2015,June 23,Chilean footballer
Prime Minister of South Korea,/wiki/Prime_Minister_of_South_Korea,1926,2015,Kim Jong-pil,9th Prime Minister of South Korea
Stanley Anderson,/wiki/Stanley_Anderson,1939,2015,June 24,American actor
Richard Benjamin Harrison,/wiki/Richard_Benjamin_Harrison,1941,2015,June 25,American businessman and television personality
President of Haiti,/wiki/President_of_Haiti,1932,2015,Henri Namphy,35th President of Haiti
Ed Simons,/wiki/Ed_Simons_(conductor),1917,2015,June 26,American musician
Joe Jackson,/wiki/Joe_Jackson_(manager),1928,2015,June 27,American talent manager
Steven Hilliard Stern,/wiki/Steven_Hilliard_Stern,1937,2015,June 27,"Canadian director, writer, and producer"
Harlan Ellison,/wiki/Harlan_Ellison,1934,2015,June 28,American writer
Christine Nöstlinger,/wiki/Christine_N%C3%B6stlinger,1936,2015,June 28,Austrian writer
Nobel Prize,/wiki/Nobel_Prize,1923,2015,Arvid Carlsson,Swedish neuropharmacologist and Nobel Prize laureate
Steve Ditko,/wiki/Steve_Ditko,1927,2015,June 29,American comic-book writer and artist
Irena Szewińska,/wiki/Irena_Szewi%C5%84ska,1946,2015,June 29,Polish Olympic sprinter
Gillian Lynne,/wiki/Gillian_Lynne,1926,2015,July 1,British dancer and choreographer
Henry Butler,/wiki/Henry_Butler,1948,2015,July 2,American jazz pianist and photographer
Antonio Halili,/wiki/Antonio_Halili,1946,2015,July 2,Filipino politician
Bill Watrous,/wiki/Bill_Watrous,1939,2015,July 2,American jazz trombonist
Thérèse Kleindienst,/wiki/Th%C3%A9r%C3%A8se_Kleindienst,1916,2015,July 3,French librarian
Richard Swift,/wiki/Richard_Swift_(singer-songwriter),1977,2015,July 3,"American singer, songwriter, multi-instrumentalist, producer, and film maker"
Georges-Emmanuel Clancier,/wiki/Georges-Emmanuel_Clancier,1914,2015,July 4,French poet and novelist
Henri Dirickx,/wiki/Henri_Dirickx,1927,2015,July 4,Belgian footballer
Robby Müller,/wiki/Robby_M%C3%BCller,1940,2015,July 4,Dutch cinematographer
Claude Lanzmann,/wiki/Claude_Lanzmann,1925,2015,July 5,French filmmaker
Ed Schultz,/wiki/Ed_Schultz,1954,2015,July 5,American political commentator and television host
Jean-Louis Tauran,/wiki/Jean-Louis_Tauran,1943,2015,July 5,French cardinal
Shoko Asahara,/wiki/Shoko_Asahara,1955,2015,July 6,Japanese cult leader and terrorist
Vlatko Ilievski,/wiki/Vlatko_Ilievski,1985,2015,July 6,Macedonian singer and actor
Tyler Honeycutt,/wiki/Tyler_Honeycutt,1990,2015,July 7,American basketball player
Tab Hunter,/wiki/Tab_Hunter,1931,2015,July 8,American actor and singer
Frank Ramsey,/wiki/Frank_Ramsey_(basketball),1931,2015,July 8,American basketball player
Secretary General of NATO,/wiki/Secretary_General_of_NATO,1919,2015,"Peter Carington, 6th Baron Carrington","6th Baron Carrington, former Secretary General of NATO"
Hans Günter Winkler,/wiki/Hans_G%C3%BCnter_Winkler,1926,2015,July 9,German show jumping rider
Henry Morgenthau III,/wiki/Henry_Morgenthau_III,1917,2015,July 10,American author and television producer
Mien Schopman-Klaver,/wiki/Mien_Schopman-Klaver,1911,2015,July 10,Dutch Olympic athlete
Lindy Remigino,/wiki/Lindy_Remigino,1931,2015,July 11,American Olympic athlete
Roger Perry,/wiki/Roger_Perry,1933,2015,July 12,American actor
Robert Wolders,/wiki/Robert_Wolders,1936,2015,July 12,Dutch actor
Claude Seignolle,/wiki/Claude_Seignolle,1917,2015,July 13,French author
Thorvald Stoltenberg,/wiki/Thorvald_Stoltenberg,1931,2015,July 13,Norwegian politician
July 14,/wiki/July_14,1938,2015,Millennium,2nd Prime Minister of Namibia
Ray Emery,/wiki/Ray_Emery,1982,2015,July 15,Canadian ice hockey player
Dragutin Šurbek,/wiki/Dragutin_%C5%A0urbek,1946,2015,July 15,Croatian table tennis player
Gabriel Caruana,/wiki/Gabriel_Caruana,1929,2015,July 16,Maltese artist
Yvonne Blake,/wiki/Yvonne_Blake,1940,2015,July 17,British-Spanish costume designer
Anne Olivier Bell,/wiki/Anne_Olivier_Bell,1916,2015,July 18,English literary editor and art scholar
1938,/wiki/1938,importance?,2015,Adrian Cronauer,American radio personality
John Banks Elliott,/wiki/John_Banks_Elliott,1917,2015,July 18,Ghanaian diplomat and statesman
Carlos Aldunate Lyon,/wiki/Carlos_Aldunate_Lyon,1916,2015,July 18,"Chilean Jesuit priest, teacher, and writer"
Burton Richter,/wiki/Burton_Richter,1931,2015,July 18,American Nobel physicist
Shinobu Hashimoto,/wiki/Shinobu_Hashimoto,1918,2015,July 19,Japanese screenwriter
Denis Ten,/wiki/Denis_Ten,1993,2015,July 19,Kazakh figure skater
Meg Randall,/wiki/Meg_Randall,1926,2015,July 20,American actress
Jonathan Gold,/wiki/Jonathan_Gold,1960,2015,July 21,American food and music critic
Frank Havens,/wiki/Frank_Havens_(canoeist),1924,2015,July 22,French sprint canoeist
Paul Madeley,/wiki/Paul_Madeley,1944,2015,July 23,English footballer
Oksana Shachko,/wiki/Oksana_Shachko,1987,2015,July 23,Ukrainian feminist
Mary Ellis,/wiki/Mary_Ellis_(pilot),1917,2015,July 24,British ferry pilot
Jack P. Lewis,/wiki/Jack_P._Lewis,1919,2015,July 24,American Biblical scholar
Sergio Marchionne,/wiki/Sergio_Marchionne,1952,2015,July 25,Italian-Canadian automotive executive
Ellie Soutter,/wiki/Ellie_Soutter,2000,2015,July 25,British snowboarder
Simegnew Bekele,/wiki/Simegnew_Bekele,1964,2015,July 26,Ethiopian engineer and public administrator
Adem Demaçi,/wiki/Adem_Dema%C3%A7i,1936,2015,July 26,Kosovo-Albanian political activist
Robert Martin,/wiki/Robert_Martin_(aviator),1919,2015,July 26,American fighter pilot
Vladimir Voinovich,/wiki/Vladimir_Voinovich,1932,2015,July 27,Russian writer
Brian Christopher,/wiki/Brian_Christopher,1972,2015,July 29,American professional wrestler
Oliver Dragojević,/wiki/Oliver_Dragojevi%C4%87,1947,2015,July 29,Croatian singer
Vibeke Skofterud,/wiki/Vibeke_Skofterud,1980,2015,July 29,Norwegian cross-country skier
Tomasz Stańko,/wiki/Tomasz_Sta%C5%84ko,1942,2015,July 29,Polish trumpeter and composer
Nikolai Volkoff,/wiki/Nikolai_Volkoff,1947,2015,July 29,Croatian professional wrestler
July 30,/wiki/July_30,importance?,2015,Millennium,American politician
Mary Carlisle,/wiki/Mary_Carlisle,1914,2015,August 1,American actress
Rick Genest,/wiki/Rick_Genest,1985,2015,August 1,Canadian fashion model and artist
Fakir Musafar,/wiki/Fakir_Musafar,1930,2015,August 1,American performance artist
Bob Berry,/wiki/Bob_Berry_(dendrologist),1916,2015,August 2,New Zealand dendrologist
Winston Ntshona,/wiki/Winston_Ntshona,1941,2015,August 2,South African playwright and actor
Moshé Mizrahi,/wiki/Mosh%C3%A9_Mizrahi,1931,2015,August 3,Israeli film director
Lorrie Collins,/wiki/Lorrie_Collins,1942,2015,August 4,American country singer
Charlotte Rae,/wiki/Charlotte_Rae,1926,2015,August 5,American actress and singer
Piotr Szulkin,/wiki/Piotr_Szulkin,1950,2015,August 5,Polish film director and writer
Patricia Benoit,/wiki/Patricia_Benoit,1927,2015,August 6,American actress
Paul Laxalt,/wiki/Paul_Laxalt,1922,2015,August 6,American politician
Joël Robuchon,/wiki/Jo%C3%ABl_Robuchon,1945,2015,August 6,French chef and restaurateur
1932,/wiki/1932,importance?,2015,Jimmy il Fenomeno,Italian actor
M. Karunanidhi,/wiki/M._Karunanidhi,1924,2015,August 7,Indian politician
Stan Mikita,/wiki/Stan_Mikita,1940,2015,August 7,Slovak-born Canadian ice hockey player
Nicholas Bett,/wiki/Nicholas_Bett,1990,2015,August 8,Kenyan track and field athlete
Pál Fábry,/wiki/P%C3%A1l_F%C3%A1bry,1919,2015,August 8,Hungarian-American politician
László Fábián,/wiki/L%C3%A1szl%C3%B3_F%C3%A1bi%C3%A1n_(canoeist),1936,2015,August 10,Hungarian sprint canoeist
Terry A. Davis,/wiki/Terry_A._Davis,1969,2015,August 11,American computer programmer
V. S. Naipaul,/wiki/V._S._Naipaul,1932,2015,August 11,Trinidadian-British Nobel writer
Samir Amin,/wiki/Samir_Amin,1931,2015,August 12,Egyptian-French Marxian economist
John Carter,/wiki/John_Carter_(film_editor),1922,2015,August 13,American film editor
Somnath Chatterjee,/wiki/Somnath_Chatterjee,1929,2015,August 13,Indian politician
Unshō Ishizuka,/wiki/Unsh%C5%8D_Ishizuka,1951,2015,August 13,Japanese voice actor
Jim Neidhart,/wiki/Jim_Neidhart,1955,2015,August 13,American professional wrestler
Eduard Uspensky,/wiki/Eduard_Uspensky,1937,2015,August 14,Russian author and screenwriter
August 15,/wiki/August_15,1945,2015,Millennium,Italian anti-Mafia activist and politician
Aretha Franklin,/wiki/Aretha_Franklin,1942,2015,August 16,American singer-songwriter
Kim Yong-chun,/wiki/Kim_Yong-chun,1936,2015,August 16,North Korean military officer and politician
Yelena Shushunova,/wiki/Yelena_Shushunova,1969,2015,August 16,Russian gymnast
Prime Minister of India,/wiki/Prime_Minister_of_India,1924,2015,Atal Bihari Vajpayee,10th Prime Minister of India
Ezzatolah Entezami,/wiki/Ezzatolah_Entezami,1924,2015,August 17,Iranian actor
August 18,/wiki/August_18,1938,2015,Millennium,"Ghanaian diplomat, 7th United Nations Secretary-General and Nobel laureate"
Uri Avnery,/wiki/Uri_Avnery,1923,2015,August 20,Israeli peace activist and politician
Jimmy McIlroy,/wiki/Jimmy_McIlroy,1931,2015,August 20,Northern Irish footballer
Brian Murray,/wiki/Brian_Murray_(actor),1937,2015,August 20,South African actor and director
Eddie Willis,/wiki/Eddie_Willis,1936,2015,August 20,American musician
Barbara Harris,/wiki/Barbara_Harris_(actress),1935,2015,August 21,American actress and singer
Hanna Mina,/wiki/Hanna_Mina,1924,2015,August 21,Syrian novelist
Stefán Karl Stefánsson,/wiki/Stef%C3%A1n_Karl_Stef%C3%A1nsson,1975,2015,August 21,Icelandic actor and singer
Ed King,/wiki/Ed_King,1949,2015,August 22,American musician
Kuldip Nayar,/wiki/Kuldip_Nayar,1923,2015,August 23,Indian journalist and politician
George Walker,/wiki/George_Walker_(composer),1922,2015,August 23,American composer
Robin Leach,/wiki/Robin_Leach,1941,2015,August 24,English television personality
Ciril Zlobec,/wiki/Ciril_Zlobec,1925,2015,August 24,"Slovene poet, writer, and politician"
John McCain,/wiki/John_McCain,1936,2015,August 25,American politician
Rosa Bouglione,/wiki/Rosa_Bouglione,1910,2015,August 26,French circus performer
Neil Simon,/wiki/Neil_Simon,1927,2015,August 26,American playwright
Murray Westgate,/wiki/Murray_Westgate,1918,2015,August 27,Canadian actor
Olive Evelyn Boar,/wiki/Olive_Evelyn_Boar,1904,2015,August 28,British supercentenarian
James Mirrlees,/wiki/James_Mirrlees,1936,2015,August 29,Scottish Nobel economist
Joseph Kobzon,/wiki/Joseph_Kobzon,1937,2015,August 30,Soviet and Russian singer
Vanessa Marquez,/wiki/Vanessa_Marquez_(actress),1968,2015,August 30,American actress
Ray,/wiki/Ray_(wrestler),1982,2015,August 30,Hong Kong professional wrestler
Marie Severin,/wiki/Marie_Severin,1929,2015,August 30,American comics artist and colorist
Susan Brown,/wiki/Susan_Brown_(American_actress),1932,2015,August 31,American actress
Luigi Luca Cavalli-Sforza,/wiki/Luigi_Luca_Cavalli-Sforza,1922,2015,August 31,Italian population geneticist
