project,access,agent,granularity,timestamp,views
en.wikipedia,all-access,user,daily,2016111200,254356686
en.wikipedia,all-access,user,daily,2016111300,278391044
en.wikipedia,all-access,user,daily,2016111400,291636754
en.wikipedia,all-access,user,daily,2016111500,277129053
en.wikipedia,all-access,user,daily,2016111600,272426765
en.wikipedia,all-access,user,daily,2016111700,267608136
en.wikipedia,all-access,user,daily,2016111800,259068177
en.wikipedia,all-access,user,daily,2016111900,242531701
en.wikipedia,all-access,user,daily,2016112000,264779026
en.wikipedia,all-access,user,daily,2016112100,279770756
en.wikipedia,all-access,user,daily,2016112200,270293795
en.wikipedia,all-access,user,daily,2016112300,256154339
en.wikipedia,all-access,user,daily,2016112400,245500375
en.wikipedia,all-access,user,daily,2016112500,239235781
en.wikipedia,all-access,user,daily,2016112600,252501479
en.wikipedia,all-access,user,daily,2016112700,272899758
en.wikipedia,all-access,user,daily,2016112800,278382646
en.wikipedia,all-access,user,daily,2016112900,279781689
en.wikipedia,all-access,user,daily,2016113000,269196315
en.wikipedia,all-access,user,daily,2016120100,260066385
en.wikipedia,all-access,user,daily,2016120200,250255961
en.wikipedia,all-access,user,daily,2016120300,249758497
en.wikipedia,all-access,user,daily,2016120400,269615790
en.wikipedia,all-access,user,daily,2016120500,279924300
en.wikipedia,all-access,user,daily,2016120600,277206514
en.wikipedia,all-access,user,daily,2016120700,271690225
en.wikipedia,all-access,user,daily,2016120800,268541544
en.wikipedia,all-access,user,daily,2016120900,253639103
en.wikipedia,all-access,user,daily,2016121000,242696541
en.wikipedia,all-access,user,daily,2016121100,261336032
en.wikipedia,all-access,user,daily,2016121200,273023570
en.wikipedia,all-access,user,daily,2016121300,262975748
en.wikipedia,all-access,user,daily,2016121400,262107670
en.wikipedia,all-access,user,daily,2016121500,249227553
en.wikipedia,all-access,user,daily,2016121600,234612388
